x,y,z,us_mag_0,noise_values,us_mag_noisy_0
0.058818482,-0.003246922,-0.13212061,-0.123951525,-0.014253935,-0.13820546
0.072550297,0.001271197,-0.14887334,-0.143434532,0.001166189,-0.142268342
0.053832691,0.029106501,-0.14329688,-0.143667873,9.00E-05,-0.14357785
0.055893682,0.014991741,-0.14997806,-0.255186002,-0.007593718,-0.262779721
0.032613475,0.01338218,-0.14596875,-0.11346472,0.001773462,-0.111691258
0.066394202,-0.008183683,-0.16314454,-0.082026683,-0.006433716,-0.088460399
0.068398744,-0.011860165,-0.162367,-0.074607563,-0.014978739,-0.089586302
0.052837718,0.006130473,-0.15182273,-0.249936505,0.005637339,-0.244299166
0.050445233,0.014709417,-0.15151848,-0.254395744,0.011584917,-0.242810826
0.069983117,-0.009897741,-0.15232997,-0.098420706,-0.018493365,-0.116914071
0.03920041,0.037950117,-0.13298732,-0.168764069,0.011231982,-0.157532087
0.069035284,0.000559083,-0.13679142,-0.136889462,0.023731329,-0.113158133
0.039586641,0.022948908,-0.14339897,-0.582440382,0.031113905,-0.551326477
0.034995519,0.03849306,-0.1305072,-0.24454461,-0.008869672,-0.253414282
0.060122494,0.027830647,-0.14786987,-0.119893218,0.00874449,-0.111148728
0.036077388,0.025560029,-0.12344601,-0.316931986,-0.007844123,-0.324776109
0.055426054,0.029615058,-0.14658661,-0.112274078,-0.000325258,-0.112599336
0.042626165,0.030042615,-0.14311352,-0.332245574,-0.006907291,-0.339152866
0.047896203,-0.006329099,-0.14457236,-0.1381261,-0.021926687,-0.160052787
0.073101655,-0.009583576,-0.1408917,-0.107343604,-0.013819585,-0.121163189
0.038088795,0.026206929,-0.12782852,-0.592096359,0.010218053,-0.581878307
0.057256278,0.024600798,-0.1406278,-0.186547385,0.024040938,-0.162506446
0.060435329,-0.00310479,-0.15696305,-0.118356931,-0.012218119,-0.13057505
0.074039355,-0.00326596,-0.16131039,-0.099514948,-0.008280427,-0.107795375
0.060988255,0.017975906,-0.13859819,-0.139696596,-0.009536471,-0.149233067
0.030445445,0.01868864,-0.14261758,-0.357663842,-0.010057527,-0.367721369
0.04493263,0.009721319,-0.13970785,-0.332046609,0.00127199,-0.330774619
0.045916606,0.001585606,-0.13777438,-0.232860584,-0.006032808,-0.238893392
0.044953037,0.009071743,-0.1548069,-0.135571983,-0.012163651,-0.147735634
0.06379611,0.008114435,-0.14881632,-0.211257729,-0.011501766,-0.222759495
0.070133634,-0.002502494,-0.14761434,-0.14330672,0.010369436,-0.132937284
0.078152739,-0.008710535,-0.16318874,-0.081500042,0.002056686,-0.079443356
0.066274516,0.00738982,-0.15695886,-0.141035539,-0.031140955,-0.172176494
0.047973372,0.014650664,-0.13988912,-0.396704221,0.011600441,-0.38510378
0.031558257,0.015070397,-0.14635624,-0.138919662,0.019791433,-0.119128229
0.057404179,-0.00343414,-0.15601426,-0.123079436,-0.000837555,-0.123916991
0.060454786,0.006546284,-0.15786597,-0.134431325,-0.01934448,-0.153775805
0.065347522,-0.0032857,-0.15649749,-0.121725286,0.004185886,-0.1175394
0.050820202,0.015365092,-0.14708386,-0.342266405,-0.004137531,-0.346403936
0.068161964,0.004043479,-0.13983709,-0.14500796,-0.004967318,-0.149975278
0.037572213,0.029932829,-0.15010634,-0.154307761,-0.000495193,-0.154802954
0.040425766,0.01807533,-0.1443764,-0.4751534,0.004200844,-0.470952556
0.031487845,0.030120794,-0.14497124,-0.475905703,-0.004097154,-0.480002857
0.074104466,-0.014239796,-0.16136061,-0.066575798,-0.015100778,-0.081676576
0.029020322,0.026108636,-0.14416577,-0.555203971,0.003675416,-0.551528556
0.043753639,0.014480127,-0.14414495,-0.399767466,0.009243407,-0.390524058
0.047348641,0.022147501,-0.15045667,-0.175212727,0.01182932,-0.163383407
0.051723313,0.029707745,-0.15019995,-0.086068091,-0.031814704,-0.117882796
0.072574757,0.002895622,-0.14328639,-0.133499655,0.00640159,-0.127098065
0.057260599,-0.011007651,-0.13808154,-0.095329065,-0.018170026,-0.113499091
0.059052847,0.015049446,-0.14898962,-0.239804222,0.01445545,-0.225348772
