x,y,z,us_mag_0,noise_values,us_mag_noisy
0.064328216,0.014373097,-0.15107338,-0.15139895,-0.002885145,-0.154284095
0.058583587,0.0259002,-0.14006685,-0.109992439,-0.00162524,-0.111617678
0.054851495,0.006063822,-0.13186507,-0.126879003,0.005836706,-0.121042298
0.054974761,0.002208554,-0.14132135,-0.240281735,-0.013492432,-0.253774167
0.06751629,-0.00765984,-0.16401635,-0.072016591,-0.028012337,-0.100028927
0.071250975,-0.014133098,-0.1515692,-0.091429634,-0.017959104,-0.109388738
0.034004755,0.029903067,-0.1219544,-0.329622518,0.00754609,-0.322076428
0.058156684,0.012321803,-0.14443798,-0.310218527,-0.011606965,-0.321825492
0.081991449,-0.004319708,-0.15000972,-0.082671666,-0.003240447,-0.085912113
0.022658905,0.028646488,-0.13883677,-0.359809189,-0.00680563,-0.366614819
0.034303714,0.02163488,-0.14182322,-0.658759362,0.008354546,-0.650404816
0.061527617,-0.004781699,-0.13872069,-0.144707815,-0.016017242,-0.160725057
0.042010568,0.026739376,-0.15036437,-0.212513116,-0.00178118,-0.214294295
0.050399605,0.00435684,-0.13106203,-0.085971213,-0.016250806,-0.102222018
0.042092834,0.016512755,-0.13995694,-0.515122549,0.010086774,-0.505035775
0.04825519,0.023015853,-0.13632405,-0.454020951,0.002199212,-0.451821739
0.053810097,0.004766177,-0.14667688,-0.276770224,-0.020858841,-0.297629064
0.068945542,0.01068716,-0.13847578,-0.102539823,0.002110143,-0.10042968
0.075191669,-0.003280375,-0.1386098,-0.095739718,0.007629692,-0.088110026
0.056807641,-0.003463127,-0.13632482,-0.141515926,0.006846682,-0.134669244
0.0344388,0.037423089,-0.12784386,-0.238874647,-0.002573706,-0.241448353
0.081977583,-0.010403303,-0.15595894,-0.071892618,-0.016325435,-0.088218054
0.073587328,-0.005649919,-0.13972992,-0.105227073,-0.014150284,-0.119377356
0.052238997,-0.010990946,-0.15099306,-0.088167529,0.00472288,-0.083444649
0.047942139,0.007417482,-0.15126732,-0.234273724,-0.014196073,-0.248469797
0.072812192,0.009172005,-0.14788799,-0.110033868,-0.008667672,-0.118701539
0.077197321,-0.014486914,-0.15051216,-0.083183036,-0.003661775,-0.086844811
0.068615504,0.017653292,-0.13921958,-0.071038213,-0.007251607,-0.078289819
0.029304046,0.024614453,-0.13024546,-0.471419552,-0.034517464,-0.505937016
0.048945498,-0.005221054,-0.14232354,-0.130132574,0.012221169,-0.117911405
0.049409531,-0.007023776,-0.14121155,-0.105292777,0.001076724,-0.104216053
0.040425777,0.018922282,-0.14222001,-0.607405949,0.016023444,-0.591382505
0.043725874,-0.001480472,-0.14304756,-0.098177728,-0.017614527,-0.115792256
0.073538423,-0.001603734,-0.13907157,-0.109454423,0.00745124,-0.102003184
0.065527141,-0.011468363,-0.13220187,-0.099935716,0.002893932,-0.097041783
0.034667101,0.03005759,-0.1216831,-0.304537574,0.014096165,-0.290441409
0.079348743,-0.011184997,-0.15489489,-0.081416936,-0.001001011,-0.082417947
0.026307883,0.027465897,-0.14247438,-0.474799396,-0.010764987,-0.485564384
0.078868888,0.005725553,-0.15279205,-0.076948442,-0.00880285,-0.085751292
0.068818398,-0.011750503,-0.13406919,-0.094062572,0.016824299,-0.077238273
0.047512945,0.011501619,-0.1427978,-0.392755821,-0.01377618,-0.406532001
0.056143507,0.010612632,-0.14896771,-0.296772241,-0.002194559,-0.298966801
0.065658547,0.013041468,-0.14311324,-0.158083079,0.006805661,-0.151277418
0.05425198,0.012939846,-0.13336699,-0.166930397,0.00275182,-0.164178577
0.057035595,0.003340823,-0.14181255,-0.251953524,0.001063723,-0.250889801
0.078790255,-0.004207072,-0.15579368,-0.088535292,0.002259599,-0.086275693
0.070705153,-0.009742512,-0.13275406,-0.088752499,-0.007898459,-0.096650958
0.066676155,0.004078062,-0.15969561,-0.120240266,0.0030282,-0.117212067
0.066881098,0.005356162,-0.14880247,-0.177604748,-0.014971226,-0.192575974
0.048722722,0.017840805,-0.13829437,-0.467469872,-0.000268562,-0.467738434
0.078327745,0.000348137,-0.14993007,-0.102929976,-0.010949436,-0.113879412
0.057735436,0.016056972,-0.14849135,-0.263922475,0.006302668,-0.257619807
0.069757499,0.002154018,-0.15699227,-0.12673939,-0.003425327,-0.130164717
0.055205464,0.015238347,-0.15167929,-0.239789709,-0.003754386,-0.243544095
0.047002953,0.018647091,-0.14499234,-0.503321547,0.012645587,-0.490675961
0.027746048,0.027851123,-0.1420539,-0.523392946,-0.00420397,-0.527596917
