x,y,z,us_x,us_y,us_z,us_mag_0,r_x,r_y,r_z
0.011539252,0.027059924,0.020714628,0.003591902,0.05992948,-0.002370281,0.060083796,0.059781535,0.997431651,-0.039449585
0.012345396,0.027146667,0.020336062,0.00424006,0.082555923,-0.002933595,0.082716773,0.051259978,0.998055414,-0.035465541
0.011609447,0.026443671,0.021526562,0.004249955,0.072281825,-0.00346378,0.072489462,0.05862859,0.997135624,-0.047783221
0.011359747,0.02582524,0.020960884,0.004884568,0.080010192,-0.003331261,0.080228344,0.060883324,0.997280865,-0.041522246
0.012139807,0.02679519,0.022126606,0.003924542,0.07354803,-0.004008417,0.073761658,0.05320572,0.99710381,-0.054342829
0.014612018,0.025966669,0.022315105,-0.004629269,-0.173034721,0.009692763,-0.173367801,0.026702009,0.998078766,-0.055908672
0.014611004,0.024280004,0.021769665,-0.006986089,-0.265679348,0.013116263,-0.26609464,0.026254153,0.998439305,-0.049291724
0.011768741,0.024390902,0.02312617,0.004654186,0.083281342,-0.005291146,0.083578942,0.055686109,0.996439291,-0.063307162
0.015504347,0.024978906,0.022848269,-0.003430907,-0.200174871,0.012213938,-0.200576495,0.017105231,0.997997651,-0.060894165
0.017042918,0.023918912,0.024030715,-6.85E-05,-0.066564602,0.00483155,-0.066739754,0.001025826,0.997375593,-0.072393882
0.01414819,0.022928057,0.023435645,0.002046817,0.066732087,-0.004387742,0.066907497,0.030591745,0.997378318,-0.065579232
0.013337241,0.022878783,0.023493981,0.010002558,0.25673926,-0.017025854,0.257497531,0.038845259,0.99705523,-0.066120456
0.013687076,0.022738257,0.023927206,0.009669574,0.273714726,-0.019337911,0.274567308,0.0352175,0.996894815,-0.070430495
0.013909988,0.023454417,0.024223426,0.008639923,0.25952065,-0.019262137,0.260377891,0.033182245,0.996707705,-0.073977623
0.013373361,0.024475567,0.024457784,0.006801797,0.173375605,-0.013428008,0.174027803,0.039084543,0.996252334,-0.077160131
0.013195745,0.024363173,0.024724353,0.004977417,0.121304545,-0.009720304,0.121795122,0.040867129,0.995972117,-0.079808646
0.013471113,0.025948269,0.024916649,0.003118612,0.080357999,-0.00671045,0.080697979,0.038645477,0.995787002,-0.083155113
0.014661598,0.025695274,0.02487741,0.002817632,0.107731808,-0.008927788,0.108137814,0.026055938,0.996245473,-0.082559349
0.015144967,0.024333557,0.024635186,0.00335785,0.161746825,-0.012807106,0.162287807,0.020690712,0.996666523,-0.07891601
0.01330057,0.024550304,0.025250793,0.002180271,0.054478981,-0.004672754,0.05472246,0.039842335,0.995550664,-0.085390063
0.014103822,0.022902511,0.025335569,0.001686381,0.054192194,-0.004616766,0.054414633,0.030991319,0.995912145,-0.084844198
0.01462798,0.022569768,0.024678508,0.007469646,0.291067692,-0.022760531,0.292051774,0.025576445,0.996630453,-0.077933207
0.015506234,0.022648003,0.022728849,-0.004173412,-0.249722733,0.014569746,-0.25018221,0.016681491,0.99816343,-0.058236541
0.017638546,0.023310376,0.022647562,0.002183169,-0.427769192,0.024770038,-0.428491309,-0.005095014,0.998314743,-0.057807562
0.018180052,0.024139717,0.022524819,0.004855854,-0.451098198,0.025771278,-0.451859848,-0.010746372,0.998314411,-0.057033785
0.018073427,0.023533823,0.024461929,-0.000735794,0.076659739,-0.005882965,0.076888661,-0.009569604,0.997022677,-0.076512774
0.019013753,0.027644998,0.021934649,0.009187957,-0.456093489,0.024142369,-0.456824412,-0.020112666,0.998399992,-0.052848246
0.01919855,0.027574364,0.022223435,0.009813725,-0.443712766,0.024847446,-0.44451628,-0.022077314,0.998192385,-0.055897719
0.019731935,0.02766672,0.022243949,0.012112174,-0.434406008,0.024446415,-0.435261889,-0.027827324,0.998033642,-0.056164841
0.020042529,0.027175469,0.021806929,0.013557504,-0.436466339,0.022390221,-0.437250492,-0.031006263,0.998206627,-0.051206852
0.018782597,0.027144991,0.022416219,0.007750709,-0.44133054,0.02551137,-0.442135216,-0.017530177,0.998180023,-0.05770038
0.01898073,0.027732043,0.022811767,0.008498806,-0.429059555,0.026787478,-0.429978954,-0.019765634,0.997861759,-0.06229951
0.020077823,0.026790783,0.021943383,0.013488608,-0.430794945,0.022635609,-0.431600044,-0.031252564,0.998134618,-0.052445798
0.019865852,0.027620407,0.022879113,0.012245283,-0.417793757,0.026355576,-0.418803279,-0.029238746,0.997589507,-0.062930683
0.019503696,0.027064189,0.022903863,0.010514307,-0.416229086,0.026210843,-0.417186062,-0.025202919,0.997706115,-0.062827705
0.020344246,0.028285794,0.02261419,0.014778283,-0.425811902,0.025832385,-0.42685066,-0.03462167,0.997566461,-0.060518554
0.019764764,0.027778415,0.023119489,0.011612473,-0.410775844,0.027021408,-0.411827391,-0.028197429,0.997446632,-0.06561343
0.020011108,0.027188756,0.022950644,0.012354626,-0.402040341,0.025552593,-0.40304095,-0.030653526,0.997517351,-0.063399495
0.020499012,0.02766153,0.022868266,0.006541185,-0.181000127,0.011401902,-0.181476821,-0.036044187,0.997373253,-0.062828422
0.01842189,0.026785769,0.023153851,0.005764623,-0.422388679,0.027645949,-0.423331696,-0.013617273,0.99777239,-0.065305645
0.019175315,0.027586984,0.023415584,0.008848889,-0.404606775,0.027849569,-0.405660626,-0.021813527,0.997402136,-0.068652383
0.018723775,0.02766089,0.023351444,0.007034249,-0.413137843,0.02817411,-0.414157142,-0.016984493,0.997538859,-0.068027586
0.019252863,0.027283538,0.02349305,0.009179655,-0.405628456,0.028165978,-0.406708781,-0.022570586,0.997343738,-0.06925343
0.02065859,0.026816303,0.022716738,0.00638005,-0.170063124,0.010341394,-0.170496674,-0.037420381,0.997457139,-0.06065452
0.018903984,0.027232938,0.023548508,0.007715179,-0.408652294,0.028603434,-0.409724759,-0.018830152,0.997382475,-0.06981134
0.018993059,0.027757589,0.023504147,0.007998415,-0.400997116,0.028034603,-0.40205547,-0.01989381,0.997367643,-0.069728198
0.019476468,0.02718972,0.02364745,0.007276189,-0.291010642,0.020668157,-0.291834387,-0.024932596,0.997177355,-0.070821527
0.017330734,0.026507437,0.023198983,0.000865655,-0.432001426,0.028398763,-0.43293472,-0.001999505,0.997844263,-0.065595946
0.01822638,0.027642701,0.023413727,0.004972565,-0.426131568,0.029340219,-0.42716939,-0.011640733,0.997570466,-0.06868521
0.019519053,0.02705431,0.023772296,0.003239409,-0.127423108,0.009206895,-0.127796358,-0.025348208,0.997079337,-0.072043489
