x,y,z,us_mag_0,noise_values,us_mag_noisy_0
0.010866527,0.02751882,0.020923959,0.035476834,-0.008383107,0.027093727
0.011539252,0.027059924,0.020714628,0.058306214,0.009303218,0.067609432
0.012345396,0.027146667,0.020336062,0.079522021,0.00729435,0.086816371
0.011609447,0.026443671,0.021526562,0.071092002,-0.004213611,0.066878391
0.011359747,0.02582524,0.020960884,0.078718305,0.000630601,0.079348906
0.011046387,0.025818225,0.021779662,0.024883185,0.003266722,0.028149907
0.012139807,0.02679519,0.022126606,0.071321018,-0.00393308,0.067387938
0.013570667,0.02542587,0.02180584,-0.033890907,0.0050763,-0.028814607
0.011714703,0.026492382,0.023161002,0.046702795,0.012869072,0.059571867
0.011159254,0.026324321,0.023938585,0.015107736,0.010960427,0.026068163
0.014612018,0.025966669,0.022315105,-0.177816689,-0.000695873,-0.178512562
0.011498643,0.024816454,0.022980981,0.037329968,0.003656359,0.040986327
0.014611004,0.024280004,0.021769665,-0.271990776,-0.010069562,-0.282060338
0.011768741,0.024390902,0.02312617,0.083903387,-0.004363283,0.079540104
0.015504347,0.024978906,0.022848269,-0.206875637,0.008049867,-0.19882577
0.017042918,0.023918912,0.024030715,-0.077529043,-0.00887376,-0.086402803
0.01414819,0.022928057,0.023435645,0.070480019,0.004567415,0.075047434
0.013337241,0.022878783,0.023493981,0.266152471,-0.011228607,0.254923864
0.013687076,0.022738257,0.023927206,0.284474224,-0.005297809,0.279176415
0.013909988,0.023454417,0.024223426,0.261999518,-0.00876329,0.253236228
0.013373361,0.024475567,0.024457784,0.173221692,0.012166438,0.18538813
0.013195745,0.024363173,0.024724353,0.12223956,-0.009047752,0.113191808
0.013471113,0.025948269,0.024916649,0.080600604,0.003383724,0.083984328
0.014661598,0.025695274,0.02487741,0.104905933,0.021469019,0.126374952
0.015144967,0.024333557,0.024635186,0.154801831,-0.008207685,0.146594146
0.013046234,0.025452679,0.025572592,0.033818472,0.005041408,0.03885988
0.01330057,0.024550304,0.025250793,0.054750916,0.009943355,0.064694271
0.014103822,0.022902511,0.025335569,0.056398634,0.015227702,0.071626336
0.01462798,0.022569768,0.024678508,0.301788628,-0.013907556,0.287881072
0.015506234,0.022648003,0.022728849,-0.251224875,-0.003730582,-0.254955457
0.017638546,0.023310376,0.022647562,-0.433795512,-0.000400723,-0.434196235
0.018180052,0.024139717,0.022524819,-0.459342837,-0.0044227,-0.463765537
0.018073427,0.023533823,0.024461929,0.067246392,-0.006673366,0.060573026
0.019013753,0.027644998,0.021934649,-0.460529655,-0.010874801,-0.471404456
0.01919855,0.027574364,0.022223435,-0.448653907,0.006621818,-0.442032089
0.019731935,0.02766672,0.022243949,-0.4389956,-0.012772768,-0.451768368
0.020042529,0.027175469,0.021806929,-0.440457225,-0.005362967,-0.445820192
0.018782597,0.027144991,0.022416219,-0.447506994,0.003546891,-0.443960103
0.01898073,0.027732043,0.022811767,-0.434972405,0.000494052,-0.434478353
0.020077823,0.026790783,0.021943383,-0.435471028,-0.006037589,-0.441508617
0.019865852,0.027620407,0.022879113,-0.424053907,-0.00982462,-0.433878527
