x,y,z,us_x,us_y,us_z,us_mag_1,r_x,r_y,r_z
0.01227852,0.027425682,0.020429876,0.004144426,0.079346605,-0.00290794,0.079507963,0.052125919,0.997970549,-0.036574202
0.011516334,0.026670104,0.021640044,0.003109977,0.051892869,-0.002555461,0.052048749,0.059751234,0.99700513,-0.049097459
0.012088896,0.027063737,0.022241442,0.003842353,0.071078124,-0.00397225,0.071292651,0.053895499,0.996990889,-0.055717518
0.014601754,0.026200149,0.022392316,-0.004157516,-0.154391437,0.008796192,-0.154697685,0.0268751,0.998020345,-0.056860526
0.014438515,0.026094394,0.023370249,0.001480884,0.051731099,-0.003479613,0.051869137,0.028550382,0.997338734,-0.067084468
0.014555453,0.024413554,0.021839246,-0.006431059,-0.238987609,0.011987899,-0.239374488,0.026866098,0.998383792,-0.050080102
0.015496373,0.025158892,0.022907442,-0.00296921,-0.172073392,0.010625847,-0.17242673,0.017220129,0.997950796,-0.061625288
0.014101178,0.022994312,0.023532607,0.001940622,0.062249456,-0.004157656,0.062418322,0.031090575,0.997294613,-0.066609545
0.013273142,0.02292992,0.023606872,0.009960269,0.251286827,-0.016963614,0.25205563,0.039516152,0.996949868,-0.067301072
0.013646595,0.022787793,0.024038263,0.009947341,0.278175742,-0.019979063,0.279069626,0.035644658,0.996796915,-0.071591679
0.013905288,0.023544885,0.024316616,0.008726494,0.261496548,-0.019678121,0.262381068,0.033258857,0.996628873,-0.074998249
0.013392157,0.024616217,0.02454422,0.004368051,0.111734417,-0.00876724,0.112162937,0.038943798,0.996179492,-0.078165218
0.01322578,0.024494249,0.024811925,0.002091646,0.051296386,-0.004162829,0.051507508,0.040608563,0.995901147,-0.080819856
0.013522068,0.026190663,0.024989376,0.002217929,0.057805789,-0.004884141,0.058054141,0.038204499,0.995722063,-0.084130793
0.014713022,0.025935045,0.024930483,0.003017021,0.117499526,-0.009827834,0.11794841,0.025579158,0.996194237,-0.083323158
0.015175977,0.024486993,0.024690632,0.004016106,0.196192327,-0.015672559,0.196858292,0.020400997,0.99661703,-0.079613403
0.015891884,0.023922468,0.024193609,0.000698659,0.053986774,-0.004009756,0.054139985,0.012904677,0.997170085,-0.074062746
0.014631805,0.022625087,0.024776498,0.00787504,0.307158574,-0.024339734,0.308222044,0.025549892,0.996549662,-0.078968181
