x,y,z,us_x,us_y,us_z,us_mag,r_x,r_y,r_z
0.012205279,0.027712947,0.020587301,0.003425564,0.064411471,-0.002477123,0.064550044,0.053068347,0.997853241,-0.038375239
0.012030167,0.027329471,0.022409208,0.002967112,0.054102615,-0.003129553,0.054274219,0.05466891,0.99683821,-0.05766188
0.014585126,0.026446229,0.022492813,-0.003827291,-0.140835896,0.008195284,-0.141126044,0.027119668,0.997944047,-0.058070669
0.014438456,0.026337845,0.023465425,0.002171989,0.075675976,-0.005179838,0.075884133,0.028622439,0.997256914,-0.068259829
0.014502416,0.024554675,0.021949858,-0.005451843,-0.198236734,0.01018684,-0.198573152,0.027455085,0.998305819,-0.051300188
0.015488326,0.025350031,0.022988427,-0.002131398,-0.122672726,0.007694837,-0.122932303,0.01733798,0.997888457,-0.062594101
0.017079592,0.024194114,0.024133157,6.36E-05,0.097790041,-0.007222275,0.098056399,0.000649064,0.997283622,-0.073654298
0.014053664,0.023067143,0.023677016,0.003175918,0.10023208,-0.006848016,0.100515928,0.031596167,0.997176096,-0.068128668
0.013206853,0.022988217,0.023774043,0.009333849,0.231378188,-0.016025462,0.232120232,0.040211271,0.996803192,-0.069039487
0.013601422,0.02284448,0.024198622,0.008865929,0.244629243,-0.017981409,0.245449389,0.036121209,0.996658596,-0.073259132
0.013895273,0.023640104,0.024448652,0.006160968,0.18386835,-0.014100572,0.184511121,0.033390768,0.996516356,-0.076421258
0.014754957,0.026173763,0.024991889,0.002680181,0.105946617,-0.008952886,0.106357996,0.025199618,0.996132135,-0.084176894
0.015206411,0.024646569,0.024769317,0.00366434,0.181520204,-0.014673564,0.182149184,0.020117245,0.996546895,-0.080557943
0.01590745,0.024056703,0.024276981,0.001604989,0.125409543,-0.009435855,0.125774261,0.012760867,0.997100214,-0.075022147
0.01463182,0.022685595,0.024915438,0.006635082,0.258636823,-0.020874678,0.259562675,0.025562545,0.996433028,-0.080422494
0.015416415,0.022790289,0.022918787,-0.004319043,-0.244631036,0.014768774,-0.245114493,0.017620511,0.998027629,-0.060252554
0.017630715,0.02351838,0.022757925,0.001153338,-0.22911668,0.013556087,-0.229520262,-0.005024994,0.998241627,-0.059062701
0.018186828,0.024407724,0.022605926,0.002866282,-0.263808563,0.015335986,-0.264269494,-0.010846058,0.998255826,-0.058031616
0.018132946,0.023771687,0.024548568,-0.002380209,0.23251474,-0.018095498,0.233229965,-0.010205418,0.99693339,-0.077586506
0.018989185,0.028150689,0.021959528,0.008116236,-0.406030058,0.021719329,-0.406691542,-0.019956738,0.998373499,-0.053404919
0.019182431,0.028067756,0.0222397,0.008690872,-0.393947472,0.022247631,-0.394670875,-0.022020557,0.998167074,-0.056370085
0.019714613,0.02814164,0.022265574,0.010824093,-0.388824472,0.02208475,-0.389601549,-0.027782469,0.998005456,-0.056685477
0.020027483,0.027603915,0.021848626,0.012121942,-0.390485302,0.020298977,-0.39120041,-0.030986526,0.998172015,-0.051888946
0.018781064,0.02763151,0.022435721,0.006766533,-0.383642509,0.022373327,-0.384353908,-0.017604956,0.998149105,-0.058210225
0.018977797,0.028247893,0.022794401,0.007597839,-0.382052142,0.023914093,-0.382875241,-0.019844165,0.997850216,-0.06245923
0.020072173,0.027193768,0.021985486,0.011952657,-0.380832354,0.020268529,-0.381558595,-0.031325874,0.998096647,-0.053120358
0.019865247,0.028091107,0.022883132,0.010958387,-0.372075238,0.023607199,-0.372984409,-0.029380282,0.997562444,-0.063292725
0.019513544,0.027522944,0.022914095,0.009068732,-0.355757775,0.02255245,-0.356587226,-0.025432017,0.99767392,-0.063245255
0.020325441,0.028761629,0.022632292,0.013444484,-0.387659453,0.023716202,-0.38861686,-0.03459573,0.997536373,-0.061027208
0.019766836,0.028262992,0.023104275,0.010368551,-0.364569808,0.024047736,-0.365509159,-0.028367419,0.99743002,-0.065792431
0.020019919,0.027633403,0.022968067,0.010463513,-0.337840944,0.021638366,-0.338694859,-0.030893628,0.997478808,-0.063887496
0.020499747,0.028105853,0.022898352,0.004288759,-0.118080057,0.007512507,-0.118396499,-0.0362237,0.997327265,-0.063452107
0.018446963,0.02728058,0.023162937,0.004890293,-0.349583283,0.023036182,-0.350375588,-0.013957288,0.997738699,-0.065747108
0.019191556,0.028098969,0.023377428,0.007709956,-0.347810015,0.023929211,-0.348717446,-0.022109465,0.997397805,-0.06862063
0.018740784,0.028196486,0.023306968,0.006247811,-0.360950495,0.024584096,-0.361840673,-0.017266747,0.997539862,-0.06794177
0.01927626,0.02778179,0.023468586,0.007668881,-0.333364708,0.023184554,-0.33425793,-0.022943004,0.997327746,-0.069361269
0.019622499,0.026053965,0.022767332,0.00628344,-0.239386522,0.014567625,-0.23991166,-0.026190639,0.997811123,-0.060720786
0.018932499,0.027747804,0.023520025,0.006490237,-0.336428077,0.023575522,-0.337315549,-0.019240848,0.997369016,-0.069891596
0.019009704,0.028286411,0.023447193,0.007115392,-0.351532483,0.024500279,-0.35245706,-0.020187968,0.997376767,-0.069512806
0.01950429,0.02767876,0.023625545,0.004355168,-0.171231194,0.012184834,-0.171719421,-0.025362119,0.997156834,-0.070957807
0.017365106,0.027025346,0.023242313,0.000848847,-0.356290109,0.023716466,-0.35707959,-0.002377194,0.997789064,-0.06641787
0.018253561,0.028207498,0.023371119,0.004490614,-0.373134942,0.025676236,-0.374044275,-0.012005569,0.997568916,-0.06864491
0.021793205,0.027838284,0.022831993,-0.005944913,0.118499719,-0.007432626,0.118881325,-0.050007119,0.99679003,-0.062521389
0.017756529,0.026686914,0.023870371,0.000449723,-0.068720258,0.005017721,-0.068904671,-0.006526744,0.997323656,-0.072821202
0.017832866,0.027743643,0.023574201,0.00263292,-0.353822058,0.024999867,-0.354713933,-0.007422657,0.99748565,-0.070478954
0.017731266,0.028118556,0.023225555,0.002468171,-0.387328503,0.026017265,-0.388209169,-0.006357839,0.997731464,-0.067018676
0.018977407,0.028212147,0.023708712,0.006536259,-0.328868465,0.023833736,-0.32979575,-0.019819112,0.997188304,-0.072268171
0.019692119,0.027890917,0.024025042,-0.002382329,0.086567555,-0.006547519,0.086847493,-0.027431183,0.996776669,-0.075390996
0.019881161,0.02746379,0.024262432,-0.003549637,0.120635229,-0.009390015,0.121052182,-0.0293232,0.996555592,-0.077569979
0.01785841,0.027652731,0.024031989,0.000995246,-0.129100618,0.009749116,-0.129472025,-0.007686956,0.99713137,-0.075299014
0.018239657,0.027998317,0.023992,0.003555346,-0.299842308,0.022597776,-0.300713668,-0.011823028,0.997102363,-0.075147152
0.017961165,0.027880898,0.024045646,0.001358503,-0.153729761,0.011660243,-0.154177321,-0.008811303,0.997097111,-0.075628785
0.018751774,0.027903888,0.02424906,-0.000914857,0.052658828,-0.004110733,0.052826956,-0.017317998,0.996817386,-0.077815073
0.017689262,0.028177584,0.022667728,0.002497924,-0.421831432,0.025805427,-0.422627397,-0.005910463,0.998116627,-0.061059523
0.018245503,0.028158654,0.021452593,0.005259861,-0.440478498,0.021147104,-0.441017203,-0.011926656,0.998778494,-0.047950747
0.017039988,0.027640104,0.021309776,-0.000485164,-0.440553712,0.020355423,-0.441023981,0.001100086,0.998933688,-0.046154911
0.016510757,0.027494857,0.021210711,-0.002958927,-0.435959821,0.01964758,-0.43641236,0.006780117,0.998963047,-0.045020678
0.017693661,0.027809233,0.022143966,0.00250879,-0.421962381,0.023327695,-0.422614158,-0.005936362,0.99845775,-0.055198566
0.017178042,0.028192239,0.021580808,0.000180227,-0.46568131,0.023011723,-0.466249562,-0.000386546,0.998781227,-0.049354948
0.017494777,0.02802466,0.022233365,0.001654003,-0.434151031,0.024476923,-0.434843619,-0.003803673,0.998407271,-0.056289023
0.016928906,0.028314423,0.021997901,-0.001073165,-0.463828205,0.025048088,-0.464505288,0.002310339,0.998542358,-0.053924226
0.01254645,0.027391475,0.01572183,-0.003535604,-0.071663045,-0.000996533,-0.07175713,0.049271822,0.998688852,0.013887581
0.014935836,0.028097689,0.011237209,0.002636613,0.110469401,0.006906798,0.110716503,0.023814095,0.997768151,0.062382733
0.014525163,0.026836032,0.016108831,-0.002628587,-0.094118539,-0.000912343,-0.094159658,0.027916274,0.999563304,0.00968932
0.013638317,0.026418313,0.017432259,-0.005109826,-0.1372635,0.000605277,-0.137359911,0.037200273,0.999298115,-0.004406502
0.014309065,0.024635412,0.015069083,-0.004944718,-0.167385989,-0.003399961,-0.16749352,0.029521844,0.999357998,0.020299059
0.015099017,0.024957275,0.014970855,-0.003281396,-0.153507806,-0.003286314,-0.153578039,0.021366312,0.999542692,0.021398331
0.015465088,0.025058297,0.015145301,-0.002808811,-0.159910012,-0.003134852,-0.159965398,0.017558867,0.999653761,0.019597061
0.015011949,0.025063364,0.017089967,-0.00864008,-0.387243928,0.000295122,-0.387340416,0.022306166,0.999750896,-0.000761918
0.015445164,0.025476174,0.017308429,-0.007337291,-0.411012854,0.001259081,-0.411080268,0.017848804,0.999836006,-0.00306286
0.015732629,0.029161165,0.012299541,0.000894374,0.057978723,0.002993145,0.058062821,0.015403549,0.99855161,0.051550108
0.015886588,0.028603021,0.011612598,0.001232082,0.090211435,0.005302899,0.09037556,0.013632913,0.998183972,0.05867625
0.016289473,0.028504338,0.012695339,0.000594528,0.064163629,0.00301288,0.064237078,0.009255209,0.998856594,0.046902511
0.022752423,0.022242682,0.021173324,0.010333846,-0.181072116,0.00765558,-0.181528255,-0.056926926,0.997487227,-0.042172937
0.023231097,0.021763653,0.022425275,-0.009172699,0.148812309,-0.0081472,0.149317175,-0.061430974,0.996618839,-0.054563047
0.021960979,0.021039274,0.021822022,0.007279663,-0.150324453,0.007258729,-0.150675558,-0.048313499,0.997669794,-0.048174565
0.022982763,0.02112335,0.022595856,-0.006535013,0.111244459,-0.006242072,0.111610929,-0.058551729,0.996716539,-0.055927065
0.02270974,0.020335389,0.02188303,0.002960183,-0.053280784,0.00258714,-0.05342563,-0.055407539,0.997288833,-0.048425069
0.022242028,0.019602407,0.022030942,0.003205107,-0.063440738,0.003151066,-0.063599757,-0.050394953,0.997499683,-0.049545249
0.02213895,0.019609997,0.023704097,-0.004039795,0.081605702,-0.005406361,0.081884304,-0.049335404,0.996597611,-0.06602439
0.022192277,0.018770235,0.02229983,0.002517446,-0.050735176,0.002633425,-0.050865809,-0.04949191,0.997431807,-0.051772007
0.020703573,0.019236801,0.023860492,-0.002507408,0.071328417,-0.004818199,0.071534923,-0.03505152,0.997113214,-0.067354507
0.021474512,0.018681236,0.024178406,-0.002474287,0.05817794,-0.00409003,0.058373994,-0.042386799,0.99664142,-0.070065961
0.020302104,0.018384324,0.024912458,-0.001824533,0.058989348,-0.004558877,0.059193373,-0.030823262,0.996553239,-0.077016677
0.019682212,0.020325283,0.022055665,0.006329202,-0.249736345,0.012555342,-0.25013184,-0.025303465,0.998418853,-0.050194899
0.020225707,0.018917494,0.022234343,0.002758776,-0.090927478,0.004667865,-0.091089001,-0.030286599,0.998226758,-0.051245105
0.02252744,0.019157579,0.018822353,0.007733607,-0.145602041,0.002592383,-0.145830324,-0.053031542,0.998434597,-0.017776705
0.021544892,0.019252557,0.019180834,0.007379544,-0.169783874,0.003626644,-0.169982864,-0.043413461,0.998829352,-0.02133535
0.02195509,0.021112505,0.019207463,0.012221003,-0.252485555,0.005561683,-0.252842323,-0.048334484,0.998588967,-0.021996645
0.022607377,0.020651771,0.020217823,0.010706616,-0.195699747,0.006270331,-0.196092682,-0.054599775,0.997996181,-0.031976365
0.022493698,0.020535475,0.018934304,0.009558426,-0.178631791,0.003424245,-0.17892011,-0.053422871,0.998388561,-0.019138401
0.021490423,0.01960755,0.018675158,0.007979254,-0.185229887,0.003042524,-0.185426634,-0.043031864,0.998938951,-0.016408235
0.019306621,0.019862101,0.020900698,0.00556037,-0.258664032,0.009977119,-0.25891609,-0.021475569,0.999026485,-0.038534178
0.019895282,0.019819835,0.019913854,0.006472823,-0.236824499,0.006810625,-0.237010813,-0.027310244,0.999213902,-0.028735505
0.020246958,0.019504068,0.019854076,0.006458359,-0.210186124,0.005901315,-0.210368112,-0.030700276,0.999134906,-0.028052325
0.019712413,0.017827828,0.02038075,0.00300957,-0.120280042,0.003938675,-0.120382138,-0.025000136,0.9991519,-0.032718098
0.020390576,0.018938102,0.017951291,0.005499675,-0.17203056,0.001581515,-0.172125713,-0.031951503,0.999447187,-0.009188139
0.021441789,0.02742471,0.024263736,-0.00404404,0.087587279,-0.006815991,0.087945116,-0.045983677,0.995931132,-0.077502785
0.022323821,0.028338354,0.022388686,-0.003793944,0.067514027,-0.003933038,0.067734826,-0.056011721,0.996740245,-0.058065223
