x,y,z,us_mag,noise,us_mag_noisy
0.012205279,0.027712947,0.020587301,0.064664066,-0.002725404,0.061938662
0.012773889,0.026780648,0.020371933,0.047772162,-0.002594566,0.045177596
0.010811778,0.026150767,0.022111625,-0.030769983,-0.005951724,-0.036721707
0.012030167,0.027329471,0.022409208,0.055969376,-0.002055977,0.053913399
0.014585126,0.026446229,0.022492813,-0.144100681,0.008396845,-0.135703836
0.011335119,0.025052708,0.023296543,-0.026969338,-0.008180178,-0.035149516
0.014438456,0.026337845,0.023465425,0.07529071,0.009199987,0.084490697
0.014502416,0.024554675,0.021949858,-0.20556207,-0.012888972,-0.218451042
0.011506977,0.025526444,0.024394123,-0.046686854,-0.004139778,-0.050826632
0.015488326,0.025350031,0.022988427,-0.127984032,-0.010312943,-0.138296975
0.011800518,0.025532572,0.024735397,-0.049575582,0.002729945,-0.046845637
0.011664835,0.025810905,0.025167722,-0.027658502,-0.003030792,-0.030689294
0.017079592,0.024194114,0.024133157,0.08649753,-0.012194736,0.074302794
0.014053664,0.023067143,0.023677016,0.09764766,0.016363459,0.114011119
0.013206853,0.022988217,0.023774043,0.233611047,0.011343481,0.244954528
0.013601422,0.02284448,0.024198622,0.247137964,-0.011410731,0.235727233
0.013895273,0.023640104,0.024448652,0.178788602,-0.001501143,0.177287459
0.013557123,0.026421625,0.025071196,0.025408827,0.005457842,0.030866669
0.014754957,0.026173763,0.024991889,0.108365215,-0.006356357,0.102008858
0.015206411,0.024646569,0.024769317,0.176569819,0.002203493,0.178773312
0.013847066,0.025384191,0.02633634,-0.04741367,-0.005131127,-0.052544797
0.013185933,0.025834046,0.025712539,-0.038669065,0.003482358,-0.035186707
0.01340983,0.024837539,0.025421269,-0.041642994,0.004479649,-0.037163345
0.012882539,0.025630441,0.025879327,-0.046619404,0.003461668,-0.043157736
0.01590745,0.024056703,0.024276981,0.115149237,0.007889956,0.123039193
0.01463182,0.022685595,0.024915438,0.260573894,-0.00201495,0.258558944
0.015416415,0.022790289,0.022918787,-0.250821531,-0.005083076,-0.255904607
0.017630715,0.02351838,0.022757925,-0.240678817,0.002784923,-0.237893894
0.018186828,0.024407724,0.022605926,-0.275638193,-0.00309742,-0.278735613
0.018132946,0.023771687,0.024548568,0.222703516,0.004336805,0.227040321
0.018989185,0.028150689,0.021959528,-0.411212265,-0.002187611,-0.413399876
0.019182431,0.028067756,0.0222397,-0.39958787,-0.011939018,-0.411526888
0.019714613,0.02814164,0.022265574,-0.394129097,-0.006137009,-0.400266106
0.020027483,0.027603915,0.021848626,-0.394798666,-0.005155108,-0.399953774
0.018781064,0.02763151,0.022435721,-0.390491247,0.007726591,-0.382764656
0.018977797,0.028247893,0.022794401,-0.388259947,-0.004982885,-0.393242832
0.020072173,0.027193768,0.021985486,-0.385584742,0.006789912,-0.37879483
0.019865247,0.028091107,0.022883132,-0.37894547,-0.007502739,-0.386448209
0.019513544,0.027522944,0.022914095,-0.363821864,0.013601806,-0.350220058
0.020325441,0.028761629,0.022632292,-0.394025236,-0.009368094,-0.40339333
0.019766836,0.028262992,0.023104275,-0.371937782,0.012330065,-0.359607717
0.020019919,0.027633403,0.022968067,-0.344900072,0.008993062,-0.33590701
0.020499747,0.028105853,0.022898352,-0.122927442,-0.013402855,-0.136330297
0.018446963,0.02728058,0.023162937,-0.358611822,-0.002232308,-0.36084413
0.019191556,0.028098969,0.023377428,-0.355730444,0.007199917,-0.348530527
0.018740784,0.028196486,0.023306968,-0.367861867,-0.003043819,-0.370905686
0.01927626,0.02778179,0.023468586,-0.342469007,0.000101767,-0.34236724
0.019622499,0.026053965,0.022767332,-0.248321682,0.004466341,-0.243855341
0.018932499,0.027747804,0.023520025,-0.34554857,-0.00364807,-0.34919664
0.019009704,0.028286411,0.023447193,-0.358503282,0.000186028,-0.358317254
0.01950429,0.02767876,0.023625545,-0.177247837,0.003890527,-0.17335731
0.017365106,0.027025346,0.023242313,-0.364676416,-0.0023879,-0.367064316
0.018253561,0.028207498,0.023371119,-0.379617602,-0.006236479,-0.385854081
0.021525109,0.029137107,0.022166222,0.020183573,0.006685267,0.02686884
0.021793205,0.027838284,0.022831993,0.117961988,0.000725704,0.118687692
0.017756529,0.026686914,0.023870371,-0.072281629,-0.012318234,-0.084599863
0.017832866,0.027743643,0.023574201,-0.361463815,-0.001269877,-0.362733692
0.017731266,0.028118556,0.023225555,-0.393254459,-0.006782694,-0.400037153
0.018977407,0.028212147,0.023708712,-0.33718428,0.007361035,-0.329823245
0.019692119,0.027890917,0.024025042,0.082926936,0.008688361,0.091615297
0.019881161,0.02746379,0.024262432,0.120603479,-0.003643711,0.116959768
0.02009088,0.028166164,0.024086343,0.024068311,0.004614386,0.028682697
0.01785841,0.027652731,0.024031989,-0.133140251,0.00901352,-0.124126731
0.018239657,0.027998317,0.023992,-0.306346297,-0.000239743,-0.30658604
0.017961165,0.027880898,0.024045646,-0.156451046,-0.00030573,-0.156756776
0.018751774,0.027903888,0.02424906,0.04974518,0.00708017,0.05682535
0.018040964,0.027942818,0.024391688,0.030176211,0.005269672,0.035445883
0.017689262,0.028177584,0.022667728,-0.427366704,-0.004939889,-0.432306593
0.02112156,0.028350584,0.021810927,-0.021400262,-0.006102667,-0.027502929
0.020722494,0.028893191,0.022187475,-0.045375578,-0.015951758,-0.061327336
0.018245503,0.028158654,0.021452593,-0.445454508,-0.00848929,-0.453943798
0.017039988,0.027640104,0.021309776,-0.446164191,0.013248906,-0.432915285
0.016510757,0.027494857,0.021210711,-0.441530347,0.001614375,-0.439915972
0.017693661,0.027809233,0.022143966,-0.428044409,0.004107066,-0.423937343
0.017178042,0.028192239,0.021580808,-0.471164256,0.006282563,-0.464881693
0.017494777,0.02802466,0.022233365,-0.439887196,-0.011902458,-0.451789654
0.016928906,0.028314423,0.021997901,-0.469442874,0.000622888,-0.468819986
0.013604255,0.030829137,0.012876851,0.033490717,0.011962398,0.045453115
0.012337098,0.028696872,0.015390202,-0.02743973,0.000131679,-0.027308051
0.013833609,0.030788451,0.012869895,0.033257488,0.000475913,0.033733401
0.014023117,0.029916143,0.01213649,0.02098603,0.014183862,0.035169892
0.01254645,0.027391475,0.01572183,-0.071574688,0.002955357,-0.068619331
0.013955689,0.030560751,0.014005587,0.030352682,0.011175523,0.041528205
0.013856025,0.030674519,0.014196544,0.033854812,0.004831759,0.038686571
0.014356087,0.02978638,0.011018082,0.041703306,-0.003670509,0.038032797
0.014935836,0.028097689,0.011237209,0.106720343,-0.006325052,0.100395291
0.01514492,0.026717635,0.014197647,-0.042600542,0.000265083,-0.042335459
0.01554291,0.029970434,0.011704913,0.027575998,0.001962949,0.029538947
0.014525163,0.026836032,0.016108831,-0.092813924,0.001028409,-0.091785515
0.016182501,0.029222917,0.0128663,0.040792562,-0.01199695,0.028795612
0.015261182,0.026147032,0.013958568,-0.047273316,-0.001732949,-0.049006265
0.013638317,0.026418313,0.017432259,-0.135467112,0.00669078,-0.128776332
0.013658772,0.030473109,0.015874466,0.034563985,-0.000318125,0.03424586
0.014309065,0.024635412,0.015069083,-0.168161735,-0.011010522,-0.179172257
0.015099017,0.024957275,0.014970855,-0.155051112,-0.00037573,-0.155426842
0.015465088,0.025058297,0.015145301,-0.161195427,-0.013080734,-0.174276161
0.015011949,0.025063364,0.017089967,-0.387138605,-0.003816484,-0.390955089
0.015445164,0.025476174,0.017308429,-0.411315203,0.00185598,-0.409459223
0.015031922,0.030038202,0.016474553,0.032457788,0.002406184,0.034863972
0.013130249,0.030588932,0.016174994,0.035123881,-0.005048586,0.030075295
0.015732629,0.029161165,0.012299541,0.053047583,-0.001512373,0.05153521
0.013140652,0.03065888,0.013611101,0.028109921,0.00951071,0.037620631
0.015886588,0.028603021,0.011612598,0.085460343,-0.003405089,0.082055254
0.016895287,0.029217271,0.013347594,0.03178104,-0.003171558,0.028609482
0.016289473,0.028504338,0.012695339,0.059132755,0.002153892,0.061286647
0.016957142,0.030392012,0.014530025,0.02697294,0.00822098,0.03519392
0.022769949,0.022256048,0.022285854,0.051246382,-0.012836904,0.038409478
0.022752423,0.022242682,0.021173324,-0.169902906,-0.000146845,-0.170049751
0.023231097,0.021763653,0.022425275,0.163354561,0.000765136,0.164119697
0.021960979,0.021039274,0.021822022,-0.136576653,0.003278775,-0.133297878
0.022982763,0.02112335,0.022595856,0.125082314,-0.008239054,0.11684326
0.022607829,0.020688636,0.022413498,0.037666354,0.007673605,0.045339959
0.023425084,0.021311086,0.021149859,0.023925079,0.007070029,0.030995108
0.022242028,0.019602407,0.022030942,-0.055039514,-0.01409191,-0.069131424
0.02213895,0.019609997,0.023704097,0.088194259,0.003045102,0.091239361
0.022192277,0.018770235,0.02229983,-0.046017487,-0.004813148,-0.050830635
0.021375528,0.017994022,0.024320448,0.029096425,0.004384755,0.03348118
0.021930838,0.018991735,0.023331653,0.02543845,0.021437274,0.046875724
0.020703573,0.019236801,0.023860492,0.081168167,0.002911871,0.084080038
0.021474512,0.018681236,0.024178406,0.062341724,-0.005347046,0.056994678
0.02019581,0.017743168,0.02456194,0.046744786,-0.006051997,0.040692789
0.020302104,0.018384324,0.024912458,0.062583849,0.005859046,0.068442895
0.019682212,0.020325283,0.022055665,-0.239319921,-0.007266547,-0.246586468
0.020225707,0.018917494,0.022234343,-0.083064556,-0.006227673,-0.089292229
