x,y,z,us_mag_0,noise_values,us_mag_noisy_0
0.012930397,0.017220954,0.009480245,0.066754119,-0.005890519,0.0608636
0.012965152,0.016595343,0.011105062,0.017640343,0.003056441,0.020696784
0.013669056,0.016394468,0.010187758,0.058055734,-0.001124472,0.056931262
0.013999251,0.015575658,0.011105882,0.033286172,-0.001741422,0.03154475
0.012515625,0.015941231,0.011169966,0.030025188,0.003428123,0.033453311
0.014335176,0.015330014,0.011297037,0.021710804,0.000517767,0.022228571
0.014298896,0.01594186,0.009843856,0.040630322,-0.000948071,0.039682251
0.014790795,0.015468298,0.010932262,0.023580369,-0.00491174,0.018668629
0.015258721,0.015347359,0.009369119,0.022070827,-0.003639511,0.018431316
0.015534888,0.015441807,0.00990924,0.017301145,0.00311473,0.020415875
0.015208444,0.014417387,0.00862105,0.028778962,-0.002488201,0.026290761
0.009373683,0.012023015,0.006712722,-0.114258729,-0.002011174,-0.116269903
0.009366146,0.012718727,0.006720889,-0.150577052,0.003524837,-0.147052215
0.007314564,0.012386783,0.005757414,-0.067879812,0.001328772,-0.06655104
0.00627554,0.011591255,0.007594772,-0.06406314,0.004112888,-0.059950252
0.009722948,0.011944314,0.005317009,-0.025356161,-0.001961431,-0.027317592
0.009168267,0.011179125,0.005982917,-0.04475276,-0.001411818,-0.046164578
0.00706048,0.011754371,0.005033206,-0.035379103,0.006462925,-0.028916178
0.00756288,0.011267087,0.006099674,-0.054821705,0.001414343,-0.053407362
0.006873753,0.010691271,0.007399735,-0.053057808,-0.004236205,-0.057294013
0.009230754,0.011475879,0.006701013,-0.07468132,0.003960398,-0.070720922
0.013755581,0.013236287,0.005261285,0.030338954,0.000973717,0.031312671
0.0134495,0.012503602,0.005331968,0.0118508,0.004984278,0.016835078
0.013235582,0.012161087,0.005781439,0.006070368,0.006802871,0.012873239
0.014250163,0.014096277,0.005822939,0.032020757,0.00485047,0.036871227
0.013560096,0.013778717,0.004730062,0.030604928,0.00206166,0.032666588
0.01450675,0.014725249,0.004379257,0.009065105,0.003346835,0.01241194
0.011984587,0.01306743,0.004390279,0.036918097,0.000395976,0.037314073
0.012457497,0.014619914,0.005445763,-0.032238007,-0.00047894,-0.032716947
0.012153044,0.013704097,0.006535012,-0.081425626,0.000873447,-0.080552179
0.017205391,0.015617861,0.007122703,0.007927076,0.003180381,0.011107457
0.015534986,0.015299638,0.00928486,0.018394931,0.003540574,0.021935505
0.015939757,0.015349276,0.009457099,0.014778393,-0.000492719,0.014285674
0.015368571,0.014351008,0.010663734,0.012516566,0.001280539,0.013797105
0.015903637,0.014241015,0.009338358,0.012531866,2.58E-05,0.012557631
0.014160309,0.014938049,0.010937454,0.034075071,0.001871941,0.035947012
0.014999562,0.014053743,0.010887492,0.009736518,0.001699325,0.011435843
0.013769064,0.014154509,0.011052884,0.032347969,-0.000135906,0.032212063
0.012943822,0.019370519,0.007164673,-0.192075563,0.000763992,-0.191311571
0.012838792,0.019534761,0.006844302,-0.062480779,-0.001584431,-0.06406521
0.0124295,0.019588418,0.006735359,0.030470677,0.000570824,0.031041501
0.013034006,0.01919869,0.006468026,-0.190098658,-0.002726795,-0.192825453
0.013268667,0.019058505,0.006422373,-0.19505594,0.001997248,-0.193058692
0.013444869,0.018805314,0.006543024,-0.180485693,-0.003809369,-0.184295062
0.013365073,0.018727422,0.006946541,-0.163490903,0.005189984,-0.158300919
0.013251007,0.019033158,0.007181674,-0.169265858,-0.002040426,-0.171306284
0.013571299,0.01874898,0.007379283,-0.144541066,0.002277775,-0.142263291
0.012907641,0.0193181,0.005760099,0.020734187,0.000567358,0.021301545
0.013606159,0.018812181,0.006588052,-0.176492373,-0.006860433,-0.183352806
0.009869165,0.01401162,0.010756794,0.022508035,-0.000915012,0.021593023
0.009011517,0.014900284,0.009861383,-0.037964803,0.002951373,-0.03501343
0.009886784,0.014385521,0.010690921,0.025329014,-0.000390776,0.024938238
0.009768244,0.014838196,0.009721154,-0.158913069,-0.000131948,-0.159045017
0.011348042,0.014307205,0.011034883,0.051050892,-0.000536748,0.050514144
0.010105763,0.015592024,0.010077782,-0.089613512,-0.00156868,-0.091182192
0.011043103,0.01590311,0.008509109,-0.024324273,-0.002665713,-0.026989986
0.011603911,0.0156634,0.009853918,-0.05245762,0.002079701,-0.050377919
0.00928396,0.014884056,0.009345267,-0.179655844,-0.001619382,-0.181275226
0.010835321,0.016282618,0.00970928,-0.090970213,-0.0011372,-0.092107413
0.009635659,0.015882613,0.00937932,-0.176708884,0.001591118,-0.175117766
0.011737173,0.013384989,0.011474651,0.029595216,-0.00048629,0.029108926
0.011941876,0.012925918,0.010241809,0.040615746,-0.003014916,0.03760083
0.011181156,0.012841243,0.011367587,0.034099306,-7.32E-05,0.034026134
0.011760748,0.012545354,0.011488988,0.033756325,0.002460216,0.036216541
0.011037872,0.012245159,0.011525111,0.026771418,-8.05E-05,0.026690873
0.012534099,0.011647105,0.009780033,0.025803248,0.000974168,0.026777416
0.012148154,0.011172471,0.010458102,0.01721676,-0.00181669,0.01540007
0.0131226,0.011910398,0.010614755,0.012028861,0.001257989,0.01328685
0.013181531,0.012252376,0.011152628,0.014026324,-0.000966698,0.013059626
0.009993799,0.014616484,0.004832305,-0.031969783,0.001630323,-0.03033946
0.010095323,0.014860044,0.003602984,0.027526123,-0.000786141,0.026739982
0.010355188,0.016221056,0.003993744,0.019249715,-0.002496357,0.016753358
0.008972858,0.014728385,0.00412213,0.012220229,0.002453674,0.014673903
0.009738559,0.014754909,0.003994593,0.018364285,-0.000804888,0.017559397
0.009580583,0.01459126,0.005813989,-0.106342781,-0.000221042,-0.106563823
0.008139909,0.015879937,0.005205431,0.009966574,0.002896184,0.012862758
0.0086763,0.015357422,0.004981087,-0.044579342,0.001419104,-0.043160238
0.004950885,0.011392432,0.00645631,-0.017730379,0.000643638,-0.017086741
0.004470023,0.011461048,0.007710986,-0.015840092,0.004522391,-0.011317701
0.005971043,0.011087264,0.007259316,-0.053739719,-0.004094265,-0.057833984
0.005074784,0.009573545,0.006379731,-0.015563349,0.002756885,-0.012806464
0.00572581,0.009158884,0.006878383,-0.027339003,-0.002734419,-0.030073422
0.005187592,0.009591017,0.008221309,-0.038560624,-0.000241352,-0.038801976
0.008988587,0.012607218,0.009667198,-0.07386424,0.001840658,-0.072023582
0.009946075,0.01357189,0.010352692,-0.052890042,-0.000556585,-0.053446627
0.009421558,0.012937029,0.011304492,0.019390079,-0.005387273,0.014002806
0.008972066,0.013327737,0.011088348,0.018710759,-0.003949769,0.01476099
0.010022856,0.01175166,0.011794774,0.01646563,0.00046725,0.01693288
0.008710491,0.011974199,0.01176995,0.013175127,0.002146759,0.015321886
0.008643788,0.013425851,0.009976684,-0.058197461,-0.006149332,-0.064346793
0.00851275,0.013406306,0.010773716,0.017911856,0.003058535,0.020970391
0.012485947,0.018784635,0.007978282,-0.11980274,-0.001406457,-0.121209197
0.011963321,0.019640451,0.007798973,0.016906837,-0.001135349,0.015771488
0.011082992,0.018752674,0.008501261,0.016962414,0.001414337,0.018376751
0.011857845,0.019274101,0.007016367,0.017425449,0.000762267,0.018187716
0.010630575,0.018170791,0.007992947,-0.069600414,0.00239807,-0.067202344
0.010315979,0.018041231,0.007542673,-0.068032737,4.61E-05,-0.067986632
0.010195682,0.018013213,0.006964605,-0.043952276,0.001723073,-0.042229203
0.012097701,0.019103339,0.006766567,-0.012231613,0.001357744,-0.010873869
0.01271362,0.01767664,0.007421795,-0.133325558,0.002758679,-0.130566879
0.010068554,0.017099133,0.007770831,-0.138420812,-0.000194955,-0.138615767
0.012344839,0.017695449,0.006434517,-0.16538947,0.002208486,-0.163180984
0.012903336,0.011855715,0.009313166,0.02088813,-7.16E-05,0.020816481
0.012381439,0.01244841,0.007960808,0.041964456,0.00128238,0.043246836
0.012420758,0.011800207,0.008328333,0.035868194,-0.003261206,0.032606988
0.011436598,0.01238954,0.007290161,-0.045141634,0.002381751,-0.042759883
0.010386949,0.013038483,0.006866344,-0.172989366,-0.001068922,-0.174058288
