x,y,z,us_mag_0,noise_values,us_mag_noisy
0.013211587,0.017680349,0.009463277,0.080876063,0.000312453,0.081188516
0.013297011,0.017077273,0.011112848,0.020651935,0.001315311,0.021967246
0.014006631,0.016899739,0.010154388,0.065196858,0.001329039,0.066525897
0.01436891,0.016040186,0.011125967,0.039077714,-0.00392326,0.035154454
0.012837057,0.016382277,0.011209929,0.02707639,0.000283551,0.027359941
0.014713706,0.015790712,0.011334597,0.027359929,-0.00356548,0.023794449
0.014636069,0.016464267,0.009808396,0.052269616,-0.00057144,0.051698176
0.015177768,0.015949851,0.010928918,0.031589068,-0.000916989,0.030672079
0.01556631,0.01581447,0.009366429,0.031492648,0.006793431,0.038286079
0.015885031,0.015951581,0.009877596,0.025293523,0.004224967,0.02951849
0.015453213,0.01468911,0.00865196,0.032998799,0.002421489,0.035420288
0.009560028,0.012095659,0.006684129,-0.135750051,-0.000368307,-0.136118358
0.009536142,0.012823627,0.006705461,-0.122675432,0.004026752,-0.11864868
0.007397419,0.012464033,0.00575677,-0.162748019,0.000628355,-0.162119664
0.006271605,0.011742747,0.007618393,-0.121569116,0.002172523,-0.119396593
0.009935476,0.011957405,0.005293361,0.016405139,-0.002239965,0.014165174
0.009365655,0.0111971,0.00594099,-0.013149636,0.003076059,-0.010073577
0.00715866,0.011778079,0.00502978,-0.078192592,-0.003833222,-0.082025814
0.007668189,0.011317676,0.006088077,-0.140453743,0.001265755,-0.139187988
0.005961928,0.011236765,0.005129197,-0.007973486,-0.007112749,-0.015086235
0.006927831,0.010772813,0.00739878,-0.101046998,-0.000758578,-0.101805576
0.009421353,0.011524825,0.00666093,-0.106014418,0.002154049,-0.103860369
0.013949732,0.013305189,0.005232721,0.032234924,-0.002031269,0.030203655
0.014433507,0.014224866,0.005766578,0.042399466,-0.001199144,0.041200322
0.013776939,0.013855763,0.004718034,0.030060166,-0.004366282,0.025693884
0.012238179,0.013083185,0.004412511,0.03476964,0.000710497,0.035480137
0.012677321,0.014748591,0.005393628,-0.026411872,0.002457394,-0.023954478
0.012383584,0.013838769,0.006498764,0.042849793,-0.004855624,0.037994169
0.017521242,0.015678037,0.007677727,0.0087007,0.001544323,0.010245023
0.015837845,0.015752198,0.009288566,0.026550256,-0.000328538,0.026221718
0.016256915,0.01581328,0.009452814,0.021802917,-0.004767148,0.017035769
0.015672464,0.014724423,0.010770964,0.019768379,0.000106708,0.019875087
0.016157659,0.01449167,0.009407088,0.016136343,0.000238915,0.016375258
0.016191183,0.013964033,0.009831913,0.00961715,0.002480182,0.012097332
0.016094618,0.014641341,0.010151465,0.017341237,0.001541892,0.018883129
0.014509414,0.015363017,0.010993624,0.042855073,-0.002429075,0.040425998
0.015298012,0.014415226,0.011031321,0.018010816,-0.004351221,0.013659595
0.01525958,0.013885235,0.010749413,0.017036963,-0.000710582,0.016326381
0.014109766,0.014526774,0.0111504,0.040928569,-0.007617804,0.033310765
0.013199907,0.019727133,0.007160369,-0.178781749,0.005686921,-0.173094828
0.013088209,0.019859737,0.00681745,-0.047150359,-0.001825329,-0.048975688
0.012647608,0.019894809,0.006692833,0.019737628,0.001568246,0.021305874
0.013300117,0.019516803,0.006422005,-0.177608328,-0.003298357,-0.180906685
0.013546508,0.019392295,0.006377375,-0.187470988,-0.003181041,-0.190652029
0.013723643,0.019163307,0.006509005,-0.170510077,-0.001624255,-0.172134332
0.013634696,0.019104354,0.006936233,-0.153249857,-0.001432533,-0.15468239
0.013520001,0.019413473,0.007185704,-0.15778809,-0.000833169,-0.158621259
0.013849581,0.019164925,0.007401885,-0.131738922,-0.000773885,-0.132512807
0.013196711,0.019569499,0.005674073,0.012844869,0.00276682,0.015611689
0.013887556,0.019186895,0.006560963,-0.164864892,0.003440326,-0.161424566
0.010062868,0.014380446,0.010873286,0.047845942,0.005155469,0.053001411
0.009147272,0.015326687,0.009941139,-0.067871,0.005340327,-0.062530673
0.010083294,0.014784314,0.010797944,0.027703157,0.004186217,0.031889374
0.009942589,0.015206162,0.009783456,-0.094605735,0.002790187,-0.091815548
0.01164071,0.014670963,0.011115572,0.074088286,-9.52E-05,0.073993125
0.01030113,0.01599684,0.010126967,-0.070268816,-0.006818314,-0.07708713
0.011244356,0.016210398,0.008517773,0.025132299,0.000747265,0.025879564
0.011854569,0.016032621,0.009882107,-0.026434078,-0.003176444,-0.029610522
0.009429946,0.015245627,0.009404353,-0.102951595,-0.000940195,-0.10389179
0.011047101,0.016649868,0.009732585,-0.072042023,0.000752703,-0.07128932
0.009798629,0.016255014,0.009417467,-0.112336231,-0.002711042,-0.115047273
0.012070513,0.013700884,0.011567432,0.047680845,-0.00088211,0.046798735
0.012246358,0.013155068,0.010300147,0.071883139,0.003873758,0.075756897
0.011463978,0.013096411,0.011468106,0.083858976,0.007173724,0.0910327
0.012078046,0.012772836,0.011580359,0.069488334,-0.00064173,0.068846604
0.011299767,0.012445078,0.011624115,0.072693565,0.000784088,0.073477653
0.012934119,0.011757474,0.009819943,0.037392263,-0.000916919,0.036475344
0.012531722,0.011235763,0.010526392,0.028595766,0.000181507,0.028777273
0.013513695,0.012078652,0.010701045,0.018041893,0.000386819,0.018428712
0.013548639,0.012462962,0.011249928,0.021104544,0.005633233,0.026737777
0.01267893,0.011430162,0.011511299,0.021618318,-0.000643534,0.020974784
0.01015391,0.014691589,0.004777246,-0.051297922,-0.003113488,-0.05441141
0.010255428,0.014865167,0.00349155,0.022688674,0.003778336,0.02646701
0.009093863,0.014757739,0.004049805,-0.029873622,-0.001702757,-0.031576379
